Date,Open,High,Low,Close,Volume,Market Cap
"Jul 11, 2019",12139.7138379,12144.6227945,11158.9228142,11358.661752,28595327690,202324174692
"Jul 10, 2019",12571.5371616,13129.5289339,11710.9784147,12156.5126313,33627574244,216515999522
"Jul 09, 2019",12284.3264649,12779.1320971,12233.2620314,12573.8129407,28167921523,223928128583
"Jul 08, 2019",11446.5971553,12345.8331464,11393.3743129,12285.958217,23482551458,218778355444
"Jul 07, 2019",11217.6159338,11541.6198726,11148.8048129,11450.8467553,19369044277,203881891346
"Jul 06, 2019",10982.5439142,11620.9651525,10982.5439142,11208.5508454,21092024306,199546110914
"Jul 05, 2019",11203.1024876,11395.6613596,10874.9649233,10978.4599518,23838480210,195424678267
"Jul 04, 2019",11972.7185797,12006.0753559,11166.5688601,11215.4375483,25920294033,199617404432
"Jul 03, 2019",10818.1558221,11968.0776971,10818.1558221,11961.2693412,30796494294,212867079175
"Jul 02, 2019",10588.6836947,10912.1886159,9737.88454398,10801.6779238,31015895223,192206536806
"Jul 01, 2019",10796.9306183,11206.4398606,10089.3143739,10583.1345195,29378589324,188297637574
"Jun 30, 2019",11931.990728,12178.3833598,10799.0085788,10817.1555981,27256473495,192442065810
"Jun 29, 2019",12400.7636934,12400.910221,11508.3784271,11959.3709764,29923961128,212739713110
"Jun 28, 2019",11162.1678255,12445.1752203,10914.4948615,12407.331998,35087757766,220681459666
"Jun 27, 2019",13017.1248668,13311.1443049,10491.8523044,11182.8062855,39977475223,198878940964
"Jun 26, 2019",11778.5811328,13796.4890807,11755.597775,13016.2317442,45105733173,231462117209
"Jun 25, 2019",11007.2020736,11790.916533,11007.2020736,11790.916533,24879684533,209647943360
"Jun 24, 2019",10853.7438384,11065.8960178,10610.4280819,11011.1024485,19271652365,195762668679
"Jun 23, 2019",10696.6909289,11246.1441834,10556.095932,10855.3710156,20998326502,192970090355
"Jun 22, 2019",10175.9239561,11157.3455164,10107.0352041,10701.691013,29995204861,190214124824
"Jun 21, 2019",9525.07460809,10144.5567168,9525.07460809,10144.5567168,20624008643,180293241528
"Jun 20, 2019",9273.06078283,9594.42027595,9232.48426293,9527.16035008,17846823784,169304784791
"Jun 19, 2019",9078.72760253,9299.62104446,9070.39599386,9273.52176614,15546809946,164780855869
"Jun 18, 2019",9335.46690152,9348.37442796,9004.90174624,9081.76285149,15848210536,161353637186
"Jun 17, 2019",8988.92370914,9416.40744016,8988.92370914,9320.35218253,15562951919,165573372261
"Jun 16, 2019",8841.44078361,9335.86694232,8814.55645906,8994.48801293,23348550311,159769423370
"Jun 15, 2019",8689.74641372,8859.12746691,8618.39596373,8838.37523367,18371033227,156982138835
"Jun 14, 2019",8230.89877378,8710.63642127,8183.39293312,8693.83281543,19831162906,154398880249
"Jun 13, 2019",8145.54523047,8311.56742951,8087.06116595,8230.92383068,18669407147,146160317148
"Jun 12, 2019",7925.43410401,8196.64825685,7862.3597896,8145.85747373,19034432883,144634684711
"Jun 11, 2019",8004.24354228,8026.3942184,7772.80393035,7927.71435114,17107279932,140748537530
"Jun 10, 2019",7692.28467885,8031.90989621,7586.73084679,8000.32982299,18689275118,142023351079
"Jun 09, 2019",7949.67470562,7975.97432619,7583.21971271,7688.07711075,16610726547,136465098533
"Jun 08, 2019",8036.774936,8076.89110147,7837.61096128,7954.12772355,16522722810,141172841635
"Jun 07, 2019",7826.90126518,8126.15348327,7788.3733918,8043.95135807,19141423231,142754693588
"Jun 06, 2019",7819.63337781,7937.34087946,7571.47097209,7822.02338228,19474611077,138800725479
"Jun 05, 2019",7704.34318039,7901.8489052,7668.6687003,7824.23153913,21760923463,138824651666
"Jun 04, 2019",8210.98582388,8210.98582388,7564.48860353,7707.77077085,24609731549,136742790469
"Jun 03, 2019",8741.74721596,8743.50012386,8204.18581516,8208.99482964,22004511436,145619047341
"Jun 02, 2019",8565.47326214,8809.30399136,8561.23513935,8742.95810038,20266216022,155077231351
"Jun 01, 2019",8573.83972489,8625.60025901,8481.57822194,8564.01647182,22488303544,151890214310
"May 31, 2019",8320.28637611,8586.65937818,8172.55084356,8574.50164907,25365190957,152059886414
"May 30, 2019",8661.76050606,9008.31456846,8221.27336604,8319.47222898,29246528551,147525141134
"May 29, 2019",8718.59132866,8755.85207898,8482.72893785,8659.48775584,23473479966,153537047655
"May 28, 2019",8802.75819975,8807.01613958,8634.72130428,8719.9617362,24226919267,154590202287
"May 27, 2019",8674.07240318,8907.17444077,8668.70492015,8805.7783766,27949839564,156093754762
"May 26, 2019",8055.20591925,8687.52079924,7924.67019111,8673.21603511,26677970092,153725486067
"May 25, 2019",7991.88503911,8117.92594496,7965.97621163,8052.54385907,22256813107,142708188838
